,Airline,Month_num,Passengers_In,Passengers_Out
880,Thai Airways International,2,34170,30799
886,Singapore Airlines,2,143536,115329
1050,Air Niugini,2,5603,5382
1223,Air New Zealand,2,118359,117934
1056,Virgin Australia,2,1023,854
684,Polar Air Cargo,2,0,0
513,Virgin Australia,2,18730,14965
535,Virgin Australia,2,13308,11130
1196,British Airways,2,4162,4316
1182,Hawaiian Airlines,2,7893,6709
1173,United Airlines,2,22724,19307
555,Federal Express Corporation,2,0,0
569,Sichuan Airlines,2,5449,4220
573,Beijing Capital Airlines,2,4734,4361
575,Air New Zealand,2,702,715
589,Air China,2,27454,22903
1146,Virgin Australia,2,1356,1380
594,Philippine Airlines,2,12429,9939
613,Polar Air Cargo,2,0,0
620,Silk Air,2,4632,3762
1115,Emirates,2,99003,70742
623,South African Airways,2,5007,4018
1103,Etihad Airways,2,40683,30152
628,China Eastern Airlines,2,47541,40275
1089,Federal Express Corporation,2,0,0
1075,Indonesia AirAsia,2,11632,9904
1068,British Airways,2,3460,2785
648,AirAsia X,2,50149,32857
662,Donghai Airlines,2,630,489
673,Jetstar,2,1821,1350
677,Polar Air Cargo,2,0,0
690,United Parcel Service,2,0,0
223,Polar Air Cargo,2,0,0
1363,Jetstar,2,34319,35559
27,Fiji Airways,2,14682,14383
28,Emirates,2,7860,4138
47,Qantas Airways,2,9840,9875
153,Qantas Airways,2,5885,5244
131,American Airlines,2,7466,6507
196,Virgin Australia,2,874,594
35,Malindo Air,2,2005,2416
30,Tianjin Airlines,2,5212,4070
97,Vietnam Airlines,2,17831,14487
137,Virgin Australia,2,11275,11170
72,Jetstar Asia,2,3657,2794
205,Air Mauritius,2,2010,1417
206,Jetstar,2,12326,11118
599,Etihad Airways,3,27312,36637
1221,Qantas Airways,3,11718,11553
600,Jetstar,3,8080,6725
910,Pacific Air Express,3,0,0
825,Sichuan Airlines,3,4392,3990
326,Hawaiian Airlines,3,7233,8891
581,Qantas Airways,3,78561,74917
1315,All Nippon Airways,3,5742,6404
1231,Vietnam Airlines,3,17228,15146
1106,AirAsia X,3,40187,34638
1070,Air New Zealand,3,134914,125731
412,Korean Air,3,12798,15575
604,Qantas Airways,3,2698,2625
557,Air China,3,20223,18759
609,Air Canada,3,16966,18414
1217,Qantas Airways,3,3478,3138
1216,United Parcel Service,3,0,0
306,Japan Airlines,3,8517,9728
1215,Malindo Air,3,3309,5261
303,Air Niugini,3,6407,6053
1013,Virgin Australia,3,1744,1854
124,Cathay Pacific Airways,3,73126,75914
902,Cebu Pacific Air,3,10867,9383
1051,Polar Air Cargo,3,0,0
296,China Southern Airlines,3,53269,49943
1110,Qatar Airways,3,31556,54388
909,Virgin Australia,3,8580,9248
1234,China Eastern Airlines,3,31185,29415
998,LATAM Airlines,3,3196,3759
552,SriLankan Airlines,3,7989,6227
494,Delta Air Lines,3,8289,8246
943,Jetstar,3,1812,1810
376,Qantas Airways,3,30030,30506
1269,Thai Airways International,3,29489,31079
462,Air Caledonie International,3,3957,4409
458,Federal Express Corporation,3,0,0
498,Qantas Airways,3,28500,28065
454,Qantas Airways,3,57,106
439,Air India,3,7270,6841
396,Emirates,3,0,0
1291,Emirates,3,0,0
1082,Virgin Australia,3,55988,49252
59,Jetstar,3,2293,2339
159,Qantas Airways,3,45600,42019
394,United Parcel Service,3,0,0
501,Indonesia AirAsia,3,12554,12401
942,Asiana Airlines,3,11450,13101
995,Malaysia Airlines,3,42014,34760
1101,Xiamen Airlines,3,8815,7548
118,Jetstar,3,10831,10464
546,Qantas Airways,3,11097,10988
1239,Air Vanuatu,3,4079,3970
349,Batik Air Indonesia,3,1617,1551
181,South African Airways,3,5345,5754
180,Jetstar,3,21465,21670
540,Emirates,3,6298,4583
527,Emirates,3,9075,9556
933,Federal Express Corporation,3,0,0
1243,Jetstar,3,57931,58332
359,Air New Zealand,3,845,1135
824,Garuda Indonesia,3,18627,19480
1247,Nauru Airlines,3,832,663
512,Emirates,3,79395,99977
553,Qantas Airways,3,54687,60194
290,Silk Air,3,3765,4090
1218,Qantas Airways,3,0,0
80,Jetstar,3,6452,6580
866,United Parcel Service,3,0,0
5,Air Mauritius,3,1641,1873
750,China Airlines,3,4719,5032
1348,Polar Air Cargo,3,0,0
248,Singapore Airlines,3,2574,1762
1037,United Parcel Service,3,0,0
1124,Federal Express Corporation,3,0,0
649,Qantas Airways,3,9852,11858
243,British Airways,3,2612,3110
1160,Royal Brunei Airlines,3,3433,4515
240,Qantas Airways,3,6345,5408
202,Virgin Australia,3,691,720
37,Virgin Australia,3,382,449
790,China Airlines,3,12770,15118
232,British Airways,3,3509,4811
1057,Hainan Airlines,3,9704,8229
1044,Samoa Airways,3,1145,937
224,Virgin Australia,3,1248,1189
800,Virgin Australia,3,10498,10723
220,United Airlines,3,21740,25574
806,Singapore Airlines,3,134250,132185
1142,Polar Air Cargo,3,0,0
808,Scoot Tigerair,3,27068,24459
87,Qantas Airways,3,5805,5972
831,Solomon Airlines,3,1628,1409
213,Emirates,3,6772,6352
819,Polar Air Cargo,3,0,0
106,Virgin Australia,3,11445,12970
1061,Qantas Airways,3,0,0
411,Beijing Capital Airlines,3,4103,3913
667,Virgin Australia,3,19387,20691
1186,Eva Air,3,4329,4600
890,Malindo Air,3,7311,5428
877,American Airlines,3,7717,7996
653,Virgin Australia,3,1092,1069
1192,LATAM Airlines,3,7098,7454
1202,Donghai Airlines,3,332,283
1029,Qantas Airways,3,6574,5875
650,Jetstar Asia,3,3364,2960
651,Fiji Airways,3,16997,18031
1343,Tasman Cargo Airlines,3,0,0
1033,Jetstar,3,39195,38399
113,Tianjin Airlines,3,2909,2074
664,Philippine Airlines,3,11904,10922
282,Qantas Airways,3,5685,5576
497,Cathay Pacific Airways,4,83936,87968
1143,Jetstar,4,38454,36431
46,United Parcel Service,4,0,0
485,Jetstar Asia,4,3735,3536
499,Hainan Airlines,4,10927,12254
1144,Donghai Airlines,4,282,209
1267,Thai Airways International,4,32751,34645
467,Vietnam Airlines,4,17103,17731
1268,Qantas Airways,4,28220,27976
1090,Jetstar,4,8780,8092
114,Virgin Australia,4,1176,1195
126,Jetstar,4,58906,60021
476,Virgin Australia,4,11416,12910
133,Royal Brunei Airlines,4,4823,5750
85,Jetstar,4,3732,3509
413,Qantas Airways,4,45453,45556
418,Virgin Australia,4,1682,1942
419,Qantas Airways,4,54614,64395
421,United Parcel Service,4,0,0
422,Virgin Australia,4,13387,13305
1083,Jetstar,4,2019,2193
88,Polar Air Cargo,4,0,0
460,Qantas Airways,4,0,0
433,Air Niugini,4,6540,6949
647,Jetstar,4,11553,11874
1131,Air India,4,7901,7867
961,Singapore Airlines,4,142098,148021
445,Asiana Airlines,4,7089,7127
446,Virgin Australia,4,20317,24690
448,Malaysia Airlines,4,45820,45312
1275,Qantas Airways,4,10751,12905
436,SriLankan Airlines,4,7719,7043
1205,China Eastern Airlines,4,31263,33201
1093,Polar Air Cargo,4,0,0
505,South African Airways,4,6403,6797
857,Air New Zealand,4,894,1008
560,Etihad Airways,4,38250,48128
561,Emirates,4,0,0
565,Federal Express Corporation,4,0,0
735,Emirates,4,0,0
1175,Batik Air Indonesia,4,2796,2880
574,Silk Air,4,4881,5581
729,Federal Express Corporation,4,0,0
26,Qatar Airways,4,44220,61871
579,Qantas Airways,4,1751,1987
582,China Airlines,4,5367,5008
722,Air Vanuatu,4,5181,5102
1225,Qantas Airways,4,4418,4149
584,Sichuan Airlines,4,5214,5694
588,Virgin Australia,4,60809,54959
1179,Emirates,4,9566,9289
714,Air Canada,4,13149,18147
99,Qantas Airways,4,6389,5964
1113,Qantas Airways,4,79692,79107
76,United Airlines,4,19035,21344
549,China Southern Airlines,4,54390,55228
885,LATAM Airlines,4,6947,6133
516,British Airways,4,2873,2799
776,Delta Air Lines,4,7612,8135
1245,Garuda Indonesia,4,22656,26031
612,Virgin Australia,4,2019,2144
771,United Parcel Service,4,0,0
769,Qantas Airways,4,5528,5423
848,Tianjin Airlines,4,1419,1351
793,Pacific Air Express,4,0,0
531,Fiji Airways,4,20873,23540
111,China Airlines,4,16561,19048
1164,Emirates,4,9386,8238
687,British Airways,4,2983,5532
693,Philippine Airlines,4,14960,16059
882,Emirates,4,6606,5692
1187,Air China,4,13555,14829
142,Qantas Airways,4,27973,29096
548,Xiamen Airlines,4,9689,9692
533,Nauru Airlines,4,715,799
